メーカー ,車種 ,グレード ,発売期間,型式,駆動方式,乗車定員,ドア枚数,エンジン型式,エンジン種類,エンジン区分,環境対策エンジン,総排気量(cc),過給器,最高出力/回転数(ps/rpm),最大トルク/回転数(kg・m/rpm),ホイールベース(mm),車両重量(kg),最低地上高(mm),最小回転半径(m),サスペンション形式前,サスペンション形式後,ブレーキ形式前,ブレーキ形式後,前タイヤ,後タイヤ,使用燃料,燃料タンク容量(L),JC08モード燃費(km/L),オートエアコン,エアフィルター,パワーウインドウ,シートリフター,フロントベンチシート,2列目シート,UVカットガラス,プライバシーガラス,アルミホイール,両側電動スライドドア,リアスポイラー,フロントフォグランプ,スピーカ数,ETC,運転席エアバッグ,助手席エアバッグ,サイドエアバッグ,カーテンエアバッグ,頸部衝撃緩和ヘッドレスト,EBD付ABS,クルーズコントロール,ESC（横滑り防止装置）,トラクションコントロール,ISOFIX対応チャイルドシート固定バー,パワーステアリング,盗難防止装置,セキュリティアラーム,キーレスエントリー,マニュアルモード,チップアップシート,ドアイージークローザー,アイドリングストップシステム,衝突軽減装置,レーンアシスト,車間距離自動制御システム,バックモニター,エンジンスタートボタン,前席シートヒーター,床下ラゲージボックス,オーディオソース_CD,オーディオソース_DVD,オーディオソース_AM/FMラジオ,ブレーキアシスト,駐車支援システム,防水加工,地上波デジタルテレビチューナー,ソナー,フロントモニター,サイドモニター,ダウンヒルアシストコントロール,その他ナビゲーション,寒冷地仕様,インテリジェントAFS,運転席パワーシート,本革シート,AC電源,ステアリングヒーター,リアフォグランプ,テレマティクスサービス,高級サウンドシステム,レインセンサー,インテリジェントパーキングアシスト,エマージェンシーサービス,フロント両席パワーシート,サンルーフ,オーディオソース_HDD,ニーエアバッグ,シートポジションメモリー機能,ヘッドライトウォッシャー,後退時連動式ドアミラー,VGS/VGRS,10-15モード燃費(km/L),フロントスポイラー,ディスチャージヘッドライト,オーディオソース_カセット,ABS,バケットシート,高性能ブレーキ,LSD,4WS,後席シートヒーター,2列目ウォークスルー,3列目シート,オットマン機構,電動バックドア,リアエンターテイメントシステム,電気式4WD,AI-SHIFT,助手席ウォークスルー,大型ガラスルーフ,ルーフレール,HDDナビゲーション,ランフラットタイヤ,可変気筒装置,AYC(アクティブ・ヨー・コントロール),全長,全幅,全高,室内全長,室内全幅,室内全高,img1,img2,img3,"乗り心地判定(1:良い,2:その他)",フルフラットシート,マニュアルエアコン,両側スライドドア,抗菌仕様,ローダウン,ナイトビジョン,高性能サスペンション,片側スライドドア,ソフトトップ,メタルトップ,空気清浄機,エアサスペンション,センターデフロック,ハードトップ,キャンバストップ
トヨタ,ヴェルファイア,3.5 エグゼクティブラウンジ Z,2019年12月～,3BA-GGH30W,FF,7人,5ドア,2GR-FKS,V型6気筒DOHC,ガソリン,,3456cc,,301ps/6600rpm,36.8kg・m/4700rpm,3000mm,2150kg,160mm,5.8m,ストラット式,ダブルウィッシュボーン,Vディスク式,Vディスク式,225/60R17,225/60R17,ハイオク,75L,,○,○,○,○,,固定,○,○,○,○,○,○,○(17),○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,,○,○,○,○,○,○,○,○,○,○,○,○,○,○,,○,○,○,○,,○,△,,○,○,○,○,△,○,○,○,○,○,○,△,○,○,○,,○,,,○,,,,,,,,○,可,分割可倒,○,○,○,,○,,,,,,,,4935mm,1850mm,1935mm,3210mm,1590mm,1400mm,http://img.carsensorlab.net/CSphoto/catalog/TO/S200/TO_S200_F002_M005_1_L.jpg,http://img.carsensorlab.net/CSphoto/catalog/TO/S200/TO_S200_F002_M005_2_L.jpg,http://img.carsensorlab.net/CSphoto/catalog/TO/S200/TO_S200_F002_M005_3_L.jpg,1,,,,,,,,,,,,,,,
日産,セレナ,2.0 ハイウェイスター V,2019年10月～2020年07月,DAA-GFC27,FF,8人,5ドア,MR20DD,直列4気筒DOHC,ハイブリッド,H17☆☆☆☆,1997cc,,150ps/6000rpm,20.4kg・m/4400rpm,2860mm,1710kg,160mm,5.7m,ストラット式,トーションビーム式,Vディスク式,ディスク式,195/60R16,195/60R16,レギュラー,55L,16.6km/L,○,○,○,○,,固定,○,○,○,○,○,○,○(6),,○,○,△,△,,○,○,○,○,○,○,○,,○,,,○,○,○,○,△,△,○,△,○,,,,○,△,△,,○,△,△,,,△,,,,,△,,,,,△,,,,,,,,,,,○,,,,,,,,,可,分割可倒,,,,,,可,,,,,,,4770mm,1740mm,1865mm,3240mm,1545mm,1400mm,http://img.carsensorlab.net/CSphoto/catalog/NI/S012/NI_S012_F005_M006_1_L.jpg,http://img.carsensorlab.net/CSphoto/catalog/NI/S012/NI_S012_F005_M006_2_L.jpg,http://img.carsensorlab.net/CSphoto/catalog/NI/S012/NI_S012_F005_M006_3_L.jpg,1,,,,,,,,,,,,,,,
トヨタ,ハリアー,2.0 Z,2020年06月～,6BA-MXUA80,FF,5人,5ドア,M20A-FKS,直列4気筒DOHC,ガソリン,H30☆☆☆☆☆,1986cc,,171ps/6600rpm,21.1kg・m/4800rpm,2690mm,1590kg,195mm,5.7m,ストラット式,マルチリンク式,Vディスク式,ディスク式,225/55R19,225/55R19,レギュラー,55L,,○,○,○,○,,分割可倒,○,○,○,,○,○,○(9),○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,,,○,○,○,○,○,○,,○,,,○,○,○,,○,○,△,△,,○,△,,○,,△,,△,○,○,○,,○,,△,,○,,,,,,,,,,,,,,,,,,○,,,,,△,,,,,,4740mm,1855mm,1660mm,1880mm,1520mm,1215mm,http://img.carsensorlab.net/CSphoto/catalog/TO/S114/TO_S114_F004_M001_1_L.jpg,http://img.carsensorlab.net/CSphoto/catalog/TO/S114/TO_S114_F004_M001_2_L.jpg,http://img.carsensorlab.net/CSphoto/catalog/TO/S114/TO_S114_F004_M001_3_L.jpg,1,,,,,,,,,,,,,,,
スバル,フォレスター,2.0 アドバンス 4WD,2019年10月～,5AA-SKE,4WD,5人,5ドア,FB20,水平対抗4気筒DOHC,ハイブリッド,H30☆☆☆,1995cc,,145ps/6000rpm,19.2kg・m/4000rpm,2670mm,1640kg,220mm,5.4m,ストラット式,マルチリンク式,Vディスク式,Vディスク式,225/55R18,225/55R18,レギュラー,48L,18.6km/L,○,,○,○,,分割可倒,○,○,○,,○,○,○(6),,○,○,○,○,,○,○,○,○,○,○,○,○,○,○,,,○,○,○,○,△,○,○,○,,,,○,,,,,△,○,○,,,○,○,△,,○,○,,,○,,,○,△,,○,○,○,○,,,,,,,,,,,○,,,,△,,,,,,△,,,,,4625mm,1815mm,1715mm,2100mm,1545mm,1270mm,http://img.carsensorlab.net/CSphoto/catalog/SB/S011/SB_S011_F005_M003_1_L.jpg,http://img.carsensorlab.net/CSphoto/catalog/SB/S011/SB_S011_F005_M003_2_L.jpg,http://img.carsensorlab.net/CSphoto/catalog/SB/S011/SB_S011_F005_M003_3_L.jpg,1,,,,,,,,,,,,,,,
フォルクスワーゲン,ポロ,GTI,2020年03月～2020年04月,ABA-AWCZP,FF,5人,5ドア,CZP,直列4気筒DOHC,ガソリン,,1984cc,ターボ,200ps/6000rpm,32.6kg・m/4350rpm,2550mm,1290kg,130mm,5.1m,ストラット式,トレーリングアーム式,Vディスク式,ディスク式,215/45R17,215/45R17,ハイオク,40L,16.1km/L,○,,○,○,,分割可倒,○,○,○,,○,○,○(6),○,○,○,○,○,,,○,○,○,○,○,○,,○,○,,,○,○,△,○,○,○,,,○,○,○,○,○,,○,○,,,,○,,,,,,,○,○,,○,○,,,,○,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,4075mm,1750mm,1440mm,,,,http://img.carsensorlab.net/CSphoto/catalog/VW/S001/VW_S001_F004_M006_1_L.jpg,http://img.carsensorlab.net/CSphoto/catalog/VW/S001/VW_S001_F004_M006_2_L.jpg,http://img.carsensorlab.net/CSphoto/catalog/VW/S001/VW_S001_F004_M006_3_L.jpg,1,,,,,,,,,,,,,,,
ミニ,ミニクラブマン,クーパー S オール4 4WD,2019年10月～,3BA-LV20M,4WD,5人,5ドア,B48A20F,直列4気筒DOHC,ガソリン,,1998cc,ターボ,192ps/5000rpm,28.6kg・m/4600rpm,2670mm,1550kg,,5.5m,ストラット式,マルチリンク式,Vディスク式,ディスク式,225/45R17,225/45R17,ハイオク,48L,,○,,○,○,,分割可倒,,△,○,,△,○,○(6),○,○,○,○,○,,,○,○,○,○,○,○,△,○,○,,,○,○,,○,△,○,○,,,,○,,△,,,○,,,,○,,,△,△,,,○,○,△,○,△,○,△,△,,,△,,,,,△,,,○,,,,,,,,,,,,,,△,△,○,△,,,4275mm,1800mm,1470mm,,,,http://img.carsensorlab.net/CSphoto/catalog/MN/S003/MN_S003_F002_M003_1_L.jpg,http://img.carsensorlab.net/CSphoto/catalog/MN/S003/MN_S003_F002_M003_2_L.jpg,http://img.carsensorlab.net/CSphoto/catalog/MN/S003/MN_S003_F002_M003_3_L.jpg,1,,,,,,,,,,,,,,,
メルセデス・ベンツ,Bクラス,B200d AMGライン ディーゼルターボ,2019年10月～2020年03月,3DA-247012,FF,5人,5ドア,654,直列4気筒DOHC,ディーゼル,,1950cc,ターボ,150ps/4400rpm,32.6kg・m/3200rpm,2730mm,1560kg,120mm,5m,ストラット式,トーションビーム式,Vディスク式,ディスク式,225/45R18,225/45R18,軽油,43L,,○,○,○,○,,分割可倒,,○,○,,○,,○(6),,○,○,○,○,,,○,○,○,○,○,○,,○,○,,,○,○,△,△,○,○,○,○,,,○,○,○,,△,○,△,△,,△,,○,○,△,,,○,○,,○,○,○,○,△,,○,○,,○,,,○,,,○,,,,,,,,,○,,,,,△,,,,,,4430mm,1795mm,1550mm,,,,http://img.carsensorlab.net/CSphoto/catalog/ME/S002/ME_S002_F003_M002_1_L.jpg,http://img.carsensorlab.net/CSphoto/catalog/ME/S002/ME_S002_F003_M002_2_L.jpg,http://img.carsensorlab.net/CSphoto/catalog/ME/S002/ME_S002_F003_M002_3_L.jpg,1,,,,,,,,,,,,,,,
フォルクスワーゲン,パサートヴァリアント,TDI ハイライン ディーゼルターボ,2019年04月～2019年09月,LDA-3CDFC,FF,5人,5ドア,DFC,直列4気筒DOHC,ディーゼル,,1968cc,ターボ,190ps/4000rpm,40.8kg・m/3300rpm,2790mm,1610kg,130mm,5.4m,ストラット式,4リンク,Vディスク式,ディスク式,235/45R18,235/45R18,軽油,59L,20.6km/L,○,○,○,○,,分割可倒,○,○,○,,,○,○(8),○,○,○,○,○,○,,○,○,○,○,○,○,,○,○,,,○,○,○,○,○,○,○,,○,○,○,○,○,,○,○,△,△,,○,,○,○,○,,,○,○,,○,,,○,△,○,○,○,○,○,,,,,,○,,,,,,,,,○,,,,,△,○,,,○,,4775mm,1830mm,1510mm,,,,http://img.carsensorlab.net/CSphoto/catalog/VW/S015/VW_S015_F004_M005_1_L.jpg,http://img.carsensorlab.net/CSphoto/catalog/VW/S015/VW_S015_F004_M005_2_L.jpg,http://img.carsensorlab.net/CSphoto/catalog/VW/S015/VW_S015_F004_M005_3_L.jpg,1,,,,,,,,,,,,,,,
アルファ　ロメオ,ジュリア,2.9 V6 ビターボ クアドリフォリオ,2019年10月～2020年09月,ABA-95229,FR,4人,4ドア,670050436,V型6気筒DOHC,ガソリン,,2891cc,ターボ,510ps/6500rpm,61.2kg・m/2550rpm,2820mm,1710kg,,5.7m,ダブルウィッシュボーン,マルチリンク式,Vディスク式,Vディスク式,245/35ZR19,285/30ZR19,ハイオク,58L,,○,○,○,○,,分割可倒,,○,○,,○,,○(14),,○,○,○,○,,○,○,○,○,○,○,○,○,○,○,,,○,○,○,○,○,○,○,,,,○,○,○,,,○,,,,,,○,○,○,,○,○,,○,○,,,○,,,,○,○,,,,○,○,,,,,,,,,,,,,,,,,,,,○,○,4635mm,1865mm,1435mm,,,,http://img.carsensorlab.net/CSphoto/catalog/AF/S019/AF_S019_F002_M004_1_L.jpg,http://img.carsensorlab.net/CSphoto/catalog/AF/S019/AF_S019_F002_M004_2_L.jpg,http://img.carsensorlab.net/CSphoto/catalog/AF/S019/AF_S019_F002_M004_3_L.jpg,1,,,,,,,,,,,,,,,
ＢＭＷ,2シリーズグランツアラー,218d xドライブ ラグジュアリー 4WD,2018年06月～2018年12月,LDA-2E20,4WD,7人,5ドア,B47C20A,直列4気筒DOHC,ディーゼル,,1995cc,ターボ,150ps/4000rpm,33.7kg・m/2750rpm,2780mm,1690kg,165mm,5.7m,ストラット式,マルチリンク式,Vディスク式,ディスク式,205/55R17,205/55R17,軽油,61L,20km/L,○,○,○,○,,分割可倒,,,○,,,○,○(6),○,○,○,○,○,,,△,○,○,○,○,○,,○,○,,,○,○,○,△,○,△,○,,○,○,○,,○,,,○,,,,,,,○,○,,,○,△,,○,△,○,○,△,○,○,○,,○,,,,,,○,,,,,,,分割可倒,,△,,,,,△,△,○,○,,,4585mm,1800mm,1640mm,,,,http://img.carsensorlab.net/CSphoto/catalog/BM/S053/BM_S053_F001_M005_1_L.jpg,http://img.carsensorlab.net/CSphoto/catalog/BM/S053/BM_S053_F001_M005_2_L.jpg,http://img.carsensorlab.net/CSphoto/catalog/BM/S053/BM_S053_F001_M005_3_L.jpg,1,,,,,,,,,,,,,,,
シトロエン,C5エアクロスSUV,シャイン,2020年04月～2020年06月,3BA-C845G06,FF,5人,5ドア,,直列4気筒DOHC,ガソリン,,1598cc,ターボ,180ps/5500rpm,25.5kg・m/1650rpm,2730mm,1520kg,190mm,5.6m,ストラット式,トーションビーム式,Vディスク式,ディスク式,225/55R18,225/55R18,ハイオク,52L,,○,○,○,○,,分割可倒,,○,○,,,○,,,○,○,○,○,,○,○,○,○,○,○,,,○,○,,,○,○,○,○,○,○,,○,,,○,○,○,,,○,,,○,,,,○,○,,,○,,,○,○,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,○,,,,,4500mm,1850mm,1710mm,,,,http://img.carsensorlab.net/CSphoto/catalog/CI/S040/CI_S040_F001_M003_1_L.jpg,http://img.carsensorlab.net/CSphoto/catalog/CI/S040/CI_S040_F001_M003_2_L.jpg,http://img.carsensorlab.net/CSphoto/catalog/CI/S040/CI_S040_F001_M003_3_L.jpg,1,,,,,,,,,,,,,,,
ボルボ,XC40,T4 AWD Rデザイン 4WD,2018年03月～2019年02月,DBA-XB420XC,4WD,5人,5ドア,B420,直列4気筒DOHC,ガソリン,H17☆☆☆☆,1968cc,ターボ,190ps/4700rpm,30.6kg・m/4000rpm,2700mm,1670kg,210mm,5.7m,ストラット式,マルチリンク式,ディスク式,ディスク式,235/50R19,235/50R19,ハイオク,53L,13.2km/L,○,○,○,○,,分割可倒,,○,○,,○,○,○(8),○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,,,○,○,○,○,○,○,○,○,,,○,○,○,,○,○,○,○,○,,,○,○,○,,△,○,,△,○,○,,○,△,,○,○,○,○,,,,,,,,,,,△,,,,△,,,,,△,○,○,,,,4425mm,1875mm,1660mm,,,,http://img.carsensorlab.net/CSphoto/catalog/VO/S044/VO_S044_F001_M001_1_L.jpg,http://img.carsensorlab.net/CSphoto/catalog/VO/S044/VO_S044_F001_M001_2_L.jpg,http://img.carsensorlab.net/CSphoto/catalog/VO/S044/VO_S044_F001_M001_3_L.jpg,1,,,,,,,,,,,,,,,
ダイハツ,タント,660 カスタム RS セレクション,2019年12月～,5BA-LA650S,FF,4人,5ドア,KF,直列3気筒DOHC,ガソリン,H30☆☆☆☆,658cc,ターボ,64ps/6400rpm,10.2kg・m/3600rpm,2460mm,920kg,150mm,4.7m,ストラット式,トーションビーム式,Vディスク式,ドラム式,165/55R15,165/55R15,レギュラー,30L,24.8km/L,○,,○,○,○,分割可倒,○,○,○,○,○,○,○(2),○,○,○,○,○,,○,○,○,○,○,○,○,○,○,,,○,○,○,○,○,△,○,○,○,,,,,,,,○,△,△,,,○,,,,,,,,,,△,,,,,,,,,,,○,,,,,,,,,,,,,,,,可,,,,,,,3395mm,1475mm,1755mm,2180mm,1350mm,1370mm,http://img.carsensorlab.net/CSphoto/catalog/DA/S006/DA_S006_F004_M002_1_L.jpg,http://img.carsensorlab.net/CSphoto/catalog/DA/S006/DA_S006_F004_M002_2_L.jpg,http://img.carsensorlab.net/CSphoto/catalog/DA/S006/DA_S006_F004_M002_3_L.jpg,2,,,,,,,,,,,,,,,
スズキ,ワゴンR,660 スティングレー ハイブリッド T 4WD,2017年02月～2019年09月,DAA-MH55S,4WD,4人,5ドア,R06A,直列3気筒DOHC,ハイブリッド,H17☆☆☆☆,658cc,ターボ,64ps/6000rpm,10kg・m/3000rpm,2460mm,850kg,150mm,4.6m,ストラット式,アイソレーテッド・トレーリング・リンク式,Vディスク式,ドラム式,165/55R15,165/55R15,レギュラー,27L,27km/L,○,,○,○,○,分割可倒,○,○,○,,○,○,○(2),,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,,,○,○,○,,△,○,○,○,△,△,△,○,△,,△,,△,△,,△,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,3395mm,1475mm,1650mm,2450mm,1355mm,1265mm,http://img.carsensorlab.net/CSphoto/catalog/SZ/S015/SZ_S015_F006_M001_1_L.jpg,http://img.carsensorlab.net/CSphoto/catalog/SZ/S015/SZ_S015_F006_M001_2_L.jpg,http://img.carsensorlab.net/CSphoto/catalog/SZ/S015/SZ_S015_F006_M001_3_L.jpg,2,可,,,,,,,,,,,,,,
スズキ,エブリイ,660 PC リミテッド ハイルーフ 4WD,2016年11月～2019年05月,HBD-DA17V,4WD,4人,5ドア,R06A,直列3気筒DOHC,ガソリン,H19☆☆☆☆,658cc,,49ps/5700rpm,6.3kg・m/3500rpm,2430mm,910kg,150mm,4.1m,ストラット式,アイソレーテッド・トレーリング・リンク式,ディスク式,ドラム式,145/80R12,145/80R12,レギュラー,37L,16.6km/L,,,○,,,一括可倒,○,○,,,,,○(1),,○,○,,,○,○,,△,△,,○,,○,○,,,,,△,,,,,,,,,○,△,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3395mm,1475mm,1895mm,,,,http://img.carsensorlab.net/CSphoto/catalog/SZ/S005/SZ_S005_F005_M003_1_L.jpg,http://img.carsensorlab.net/CSphoto/catalog/SZ/S005/SZ_S005_F005_M003_2_L.jpg,http://img.carsensorlab.net/CSphoto/catalog/SZ/S005/SZ_S005_F005_M003_3_L.jpg,2,,○,○,,,,,,,,,,,,
スズキ,アルトラパン,660 モード,2019年10月～,9999,FF,4人,5ドア,R06A,直列3気筒DOHC,ガソリン,H17☆☆☆☆,658cc,,52ps/6500rpm,6.4kg・m/4000rpm,2460mm,680kg,155mm,4.4m,ストラット式,トーションビーム式,ディスク式,ドラム式,155/65R14,155/65R14,レギュラー,27L,35.6km/L,○,,○,○,○,分割可倒,○,○,,,,,○(2),,○,○,,,○,○,,○,○,○,○,○,○,○,,,,○,○,○,,△,○,○,○,,,,○,,,,○,△,△,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,3395mm,1475mm,1525mm,2020mm,1295mm,1240mm,http://img.carsensorlab.net/CSphoto/catalog/SZ/S002/SZ_S002_F003_M003_1_L.jpg,http://img.carsensorlab.net/CSphoto/catalog/SZ/S002/SZ_S002_F003_M003_2_L.jpg,http://img.carsensorlab.net/CSphoto/catalog/SZ/S002/SZ_S002_F003_M003_3_L.jpg,2,,,,,,,,,,,,,,,
スズキ,エブリイワゴン,660 PZターボスペシャル ハイルーフ 4WD,2019年06月～2019年09月,ABA-DA17W,4WD,4人,5ドア,R06A,直列3気筒DOHC,ガソリン,,658cc,ターボ,64ps/6000rpm,9.7kg・m/3000rpm,2430mm,1010kg,150mm,4.5m,ストラット式,アイソレーテッド・トレーリング・リンク式,Vディスク式,ドラム式,165/60R14,165/60R14,レギュラー,37L,14.6km/L,○,,○,,○,分割可倒,○,○,○,○,○,○,○(6),,○,○,,,○,○,,○,○,○,○,○,○,○,,,○,,○,○,,△,○,○,,,,,○,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,○,○,,,,,,,,,,,,,,,,,,,,,,3395mm,1475mm,1910mm,2240mm,1355mm,1420mm,http://img.carsensorlab.net/CSphoto/catalog/SZ/S019/SZ_S019_F003_M002_1_L.jpg,http://img.carsensorlab.net/CSphoto/catalog/SZ/S019/SZ_S019_F003_M002_2_L.jpg,http://img.carsensorlab.net/CSphoto/catalog/SZ/S019/SZ_S019_F003_M002_3_L.jpg,2,可,,,,,,,,,,,,,,
トヨタ,アクア,1.5 G GRスポーツ,2017年11月～2018年03月,DAA-NHP10,FF,5人,5ドア,1NZ-FXE,直列4気筒DOHC,ハイブリッド,H17☆☆☆☆,1496cc,,74ps/4800rpm,11.3kg・m/4400rpm,2550mm,1100kg,140mm,4.8m,ストラット式,トーションビーム式,Vディスク式,ドラム式,185/60R15,185/60R15,レギュラー,36L,34.4km/L,○,○,○,○,,分割可倒,○,○,△,,○,○,○(4),,○,○,△,△,,○,○,○,○,○,○,○,,○,,,,○,○,○,,△,○,△,,,,,○,,,,,,,,,△,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,4070mm,1695mm,1455mm,2015mm,1395mm,1175mm,http://img.carsensorlab.net/CSphoto/catalog/TO/S228/TO_S228_F001_M007_1_L.jpg,http://img.carsensorlab.net/CSphoto/catalog/TO/S228/TO_S228_F001_M007_2_L.jpg,http://img.carsensorlab.net/CSphoto/catalog/TO/S228/TO_S228_F001_M007_3_L.jpg,2,,,,,,,,,,,,,,,
ホンダ,フィット,1.5 ハイブリッド Sパッケージ,2015年09月～2017年05月,DAA-GP5,FF,5人,5ドア,LEB,直列4気筒DOHC,ハイブリッド,H17☆☆☆☆,1496cc,,110ps/6000rpm,13.7kg・m/5000rpm,2530mm,1150kg,135mm,5.2m,ストラット式,車軸式,Vディスク式,ドラム式,185/55R16,185/55R16,レギュラー,40L,31.4km/L,○,○,○,○,,分割可倒,○,○,○,,○,○,○(4),△,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,,○,○,,,○,○,,○,△,△,△,,△,,△,,,,,△,,,,,,,,△,,,,△,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,3955mm,1695mm,1525mm,1935mm,1450mm,1280mm,http://img.carsensorlab.net/CSphoto/catalog/HO/S028/HO_S028_F003_M005_1_L.jpg,http://img.carsensorlab.net/CSphoto/catalog/HO/S028/HO_S028_F003_M005_2_L.jpg,,2,,,,,,,,,,,,,,,
フォルクスワーゲン,ゴルフ,GTI TCR,2019年10月～2019年12月,3BA-AUDNU,FF,5人,5ドア,DNU,直列4気筒DOHC,ガソリン,,1984cc,ターボ,290ps/6500rpm,38.7kg・m/5300rpm,2635mm,1420kg,,5.2m,ストラット式,4リンク,Vディスク式,ディスク式,235/35R19,225/35R19,ハイオク,50L,,○,○,○,○,,分割可倒,○,○,○,,○,,○(8),○,○,○,○,○,○,,○,○,○,○,○,○,,○,○,,,○,○,○,○,○,○,,,○,○,○,○,○,,○,○,,,,○,,○,,,,,○,○,,○,,,,,○,○,,,○,,,,,,○,,,,,,,,,,,,,,,,,,,,4275mm,1800mm,1455mm,,,,http://img.carsensorlab.net/CSphoto/catalog/VW/S004/VW_S004_F006_M009_1_L.jpg,http://img.carsensorlab.net/CSphoto/catalog/VW/S004/VW_S004_F006_M009_2_L.jpg,http://img.carsensorlab.net/CSphoto/catalog/VW/S004/VW_S004_F006_M009_3_L.jpg,2,,,,,,,,,,,,,,,
マツダ,デミオ,1.5 15S ツーリング 4WD,2018年08月～2019年09月,6BA-DJLAS,4WD,5人,5ドア,P5-VPS,直列4気筒DOHC,ガソリン,H30☆☆☆☆☆,1496cc,,110ps/6000rpm,14.4kg・m/4000rpm,2570mm,1150kg,145mm,4.7m,ストラット式,トーションビーム式,Vディスク式,ドラム式,185/65R15,185/65R15,レギュラー,44L,,△,○,○,○,,分割可倒,○,○,△,,,,○(6),,○,○,○,○,○,○,,○,○,○,○,○,,○,○,,,○,○,○,,△,△,△,,△,△,○,○,△,,△,○,△,△,,,,,,,,,○,,,○,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,4060mm,1695mm,1550mm,1805mm,1445mm,1210mm,http://img.carsensorlab.net/CSphoto/catalog/MA/S014/MA_S014_F004_M006_1_L.jpg,http://img.carsensorlab.net/CSphoto/catalog/MA/S014/MA_S014_F004_M006_2_L.jpg,http://img.carsensorlab.net/CSphoto/catalog/MA/S014/MA_S014_F004_M006_3_L.jpg,2,,○,,,,,,,,,,,,,
日産,フェアレディZ,3.7 NISMO,2017年07月～2019年09月,CBA-Z34,FR,2人,3ドア,VQ37VHR,V型6気筒DOHC,ガソリン,H17☆☆☆,3696cc,,355ps/7400rpm,38.1kg・m/5200rpm,2550mm,1540kg,120mm,5.2m,ダブルウィッシュボーン,マルチリンク式,Vディスク式,Vディスク式,245/40R19,285/35R19,ハイオク,72L,9.1km/L,○,,○,○,,,○,,○,,○,,○(8),○,○,○,○,○,○,○,,○,○,,○,○,,○,,,,,,,,○,○,,,○,○,○,○,○,,○,,,,,,△,,,,,,○,○,○,,,,,,○,,,,,,,,○,,,,,○,,,,,,,,,,,,,○,,,,4330mm,1870mm,1315mm,1035mm,1495mm,1090mm,http://img.carsensorlab.net/CSphoto/catalog/NI/S026/NI_S026_F004_M008_1_L.jpg,http://img.carsensorlab.net/CSphoto/catalog/NI/S026/NI_S026_F004_M008_2_L.jpg,http://img.carsensorlab.net/CSphoto/catalog/NI/S026/NI_S026_F004_M008_3_L.jpg,2,,,,○,,,,,,,,,,,
ポルシェ,911,カレラS PDK,2019年07月～2019年09月,3BA-992L30,RR,4人,2ドア,,水平対抗6気筒DOHC,ガソリン,,2981cc,ターボ,450ps/6500rpm,54kg・m/5000rpm,2450mm,1540kg,,,ストラット式,マルチリンク式,Vディスク式,Vディスク式,245/35ZR20,305/30ZR21,ハイオク,64L,,○,○,○,○,,分割可倒,,△,○,,○,,○(6),○,○,○,○,○,,,○,○,○,△,○,○,○,○,○,,,○,○,△,△,△,○,○,,,,○,,△,,△,○,△,△,,○,,△,○,○,,△,,○,△,○,,,○,△,,,△,△,,,,,,,○,,△,○,△,,,,,,,,,,△,,,,,,4520mm,1850mm,1300mm,,,,http://img.carsensorlab.net/CSphoto/catalog/PO/S001/PO_S001_F006_M001_1_L.jpg,http://img.carsensorlab.net/CSphoto/catalog/PO/S001/PO_S001_F006_M001_2_L.jpg,http://img.carsensorlab.net/CSphoto/catalog/PO/S001/PO_S001_F006_M001_3_L.jpg,2,,,,,△,△,,,,,,,,,
日産,GT-R,3.8 NISMO 4WD,2016年08月～2017年10月,DBA-R35,4WD,4人,2ドア,VR38DETT,V型6気筒DOHC,ガソリン,H17☆☆☆☆,3799cc,ターボ,600ps/6800rpm,66.5kg・m/5600rpm,2780mm,1740kg,110mm,5.7m,ダブルウィッシュボーン,マルチリンク式,Vディスク式,Vディスク式,255/40ZRF20,285/35ZRF20,ハイオク,74L,,○,,○,,,固定,○,△,○,,○,,○(11),○,○,○,,,,○,○,○,○,○,○,○,○,○,○,,,,,,,○,○,,,○,○,○,○,○,,○,○,,,,○,,○,○,○,,,○,○,○,,,,○,,○,,,,,,,○,,,,○,○,○,,,,,,,,,,,,,,○,,,4690mm,1895mm,1370mm,1730mm,1475mm,1095mm,http://img.carsensorlab.net/CSphoto/catalog/NI/S154/NI_S154_F001_M010_1_L.jpg,http://img.carsensorlab.net/CSphoto/catalog/NI/S154/NI_S154_F001_M010_2_L.jpg,http://img.carsensorlab.net/CSphoto/catalog/NI/S154/NI_S154_F001_M010_3_L.jpg,2,,,,,,,○,,,,,,,,
