carID,駆動方式,乗車定員,ドア枚数,エンジン型式,エンジン種類,エンジン区分,環境対策エンジン,総排気量(cc),過給器,ホイールベース(mm),車両重量(kg),最低地上高(mm),最小回転半径(m),サスペンション形式前,サスペンション形式後,ブレーキ形式後,使用燃料,燃料タンク容量(L),エアフィルター,2列目シート,アルミホイール,リアスポイラー,フロントフォグランプ,ETC,助手席エアバッグ,サイドエアバッグ,カーテンエアバッグ,頸部衝撃緩和ヘッドレスト,EBD付ABS,セキュリティアラーム,マニュアルモード,チップアップシート,ドアイージークローザー,レーンアシスト,車間距離自動制御システム,前席シートヒーター,床下ラゲージボックス,オーディオソース_DVD,ブレーキアシスト,駐車支援システム,防水加工,地上波デジタルテレビチューナー,ソナー,サイドモニター,その他ナビゲーション,インテリジェントAFS,運転席パワーシート,本革シート,AC電源,ステアリングヒーター,リアフォグランプ,レインセンサー,インテリジェントパーキングアシスト,エマージェンシーサービス,フロント両席パワーシート,オーディオソース_HDD,ニーエアバッグ,ヘッドライトウォッシャー,後退時連動式ドアミラー,VGS/VGRS,ABS,2列目ウォークスルー,3列目シート,電動バックドア,リアエンターテイメントシステム,電気式4WD,HDDナビゲーション,全長(mm),全幅(mm),全高(mm),室内全長(mm),室内全幅(mm),室内全高(mm),マニュアルエアコン,片側スライドドア,最高出力(ps)
28,FF,5,5,LEB,直列4気筒DOHC,ハイブリッド,H17☆☆☆☆,1496,,2530,1150,135,5.2,ストラット式,車軸式,ドラム式,レギュラー,40,○,分割可倒,○,○,○,△,○,○,○,○,○,○,○,○,,,,,○,△,,△,,△,,,△,,,,,,,,,△,,,,,,,,,,,,,,3955,1695,1525,1935,1450,1280,,,110
29,FF,5,5,DNU,直列4気筒DOHC,ガソリン,,1984,ターボ,2635,1420,150,5.2,ストラット式,4リンク,ディスク式,ハイオク,50,○,分割可倒,○,○,,○,○,○,○,○,,,○,,,○,○,,,○,○,○,,○,○,,○,○,,,,,○,○,,,,○,○,,○,,○,,,,,,,4275,1800,1455,1489,1470,1143,,,290
30,4WD,5,5,P5-VPS,直列4気筒DOHC,ガソリン,H30☆☆☆☆☆,1496,,2570,1150,145,4.7,ストラット式,トーションビーム式,ドラム式,レギュラー,44,○,分割可倒,△,,,,○,○,○,○,○,,○,,,○,,△,,△,○,△,,△,○,△,,,,,,,○,○,,,,,,○,,,,,,,,,,4060,1695,1550,1805,1445,1210,○,,110
31,FR,2,3,VQ37VHR,V型6気筒DOHC,ガソリン,H17☆☆☆,3696,,2550,1540,120,5.2,ダブルウィッシュボーン,マルチリンク式,Vディスク式,ハイオク,72,,,○,○,,○,○,○,○,○,○,,,,,,,,,○,○,○,,○,,,,,,,,,○,,,,,○,,,,,,,,,,,○,4330,1870,1315,1035,1495,1090,,,355
32,RR,4,2,,水平対抗6気筒DOHC,ガソリン,,2981,ターボ,2450,1540,150,5.2,ストラット式,マルチリンク式,Vディスク式,ハイオク,64,○,分割可倒,○,○,,○,○,○,○,,,○,○,,,△,△,○,,,,△,,△,○,△,○,△,○,○,,△,,○,,,○,,,△,,,○,,,,,,,4520,1850,1300,1335,1488,1071,,,450
33,4WD,4,2,VR38DETT,V型6気筒DOHC,ガソリン,H17☆☆☆☆,3799,ターボ,2780,1740,110,5.7,ダブルウィッシュボーン,マルチリンク式,Vディスク式,ハイオク,74,,固定,○,○,,○,○,,,,○,○,○,,,,,,,○,○,○,,○,○,,○,○,○,○,,,○,,,,○,○,,,,,,,,,,,,4690,1895,1370,1730,1475,1095,,,600
34,MR,2,3,DKD,水平対抗6気筒DOHC,ガソリン,,3995,,2484,1420,150,5.3,ストラット式,ストラット式,Vディスク式,ハイオク,64,○,,○,○,,,○,○,,,,△,,,,,△,△,,○,,△,,△,○,,,△,○,△,,△,,,,,○,○,,△,,,○,,,,,,○,4456,1801,1269,1415,1465,1072,○,,420
35,4WD,6,4,2TR-FE,直列4気筒DOHC,ガソリン,H17☆☆☆,2693,,3110,1970,185,6.3,ダブルウィッシュボーン,車軸式半楕円板ばね,ドラム式,レギュラー,70,,一括可倒,△,,,,△,,,,,,○,,,,,,,,○,△,,,,,,,,,△,,△,,,,,,,,,,○,,,,,,,5380,1880,2285,3759,1662,1557,○,○,160
36,4WD,7,5,4N14,直列4気筒DOHC,ディーゼル,,2267,ターボ,2850,1950,185,5.6,ストラット式,マルチリンク式,ディスク式,軽油,64,,分割可倒,○,,○,△,○,,○,○,○,○,○,○,○,○,○,○,,,○,○,,,,○,,,○,△,○,,,,,,,,○,,,,,可,分割可倒,○,△,,,4800,1795,1875,2980,1505,1310,,,145
37,FF,7,5,LFA,直列4気筒DOHC,ハイブリッド,H30☆☆☆☆,1993,,2900,1890,150,5.4,ストラット式,車軸式,ディスク式,レギュラー,55,○,固定,○,○,○,○,○,○,○,,○,○,,,○,○,○,○,○,△,,○,,△,○,○,△,,○,△,△,,,,○,,○,,,,,,,可,一括可倒,,△,,,4840,1820,1685,2935,1560,1305,,,145
